indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
589,1584 Ljubertsy Lane,,England,494,22954.0,285710089439
357,1641 Changhwa Place,,Nord-Ouest,52,37636.0,256546485220
376,1061 Ede Avenue,,Southern Tagalog,98,57810.0,333390595558
507,1197 Sokoto Boulevard,,West Bengali,478,87687.0,868602816371
193,891 Novi Sad Manor,,Ontario,383,5379.0,247646995453
329,867 Benin City Avenue,,Henan,591,78543.0,168884817145
93,1926 El Alto Avenue,,Buenos Aires,289,75543.0,846225459260
480,421 Yaoundé Street,,Sumy,385,11363.0,726875628268
181,146 Johannesburg Way,,Tamaulipas,330,54132.0,953689007081
349,1516 Escobar Drive,,Tongatapu,370,46069.0,64536069371
527,1993 0 Loop,,Liaoning,588,41214.0,25865528181
415,432 Garden Grove Street,,Ontario,430,65630.0,615964523510
541,195 Ilorin Street,,Chari-Baguirmi,363,49250.0,8912935608
38,61 Tama Street,,Okayama,284,94065.0,708403338270
559,1917 Kumbakonam Parkway,,Vojvodina,368,11892.0,698182547686
591,773 Dallas Manor,,Buenos Aires,424,12664.0,914466027044
475,434 Ourense (Orense) Manor,,Hodeida,206,14122.0,562370137426
463,935 Aden Boulevard,,Central Java,532,64709.0,335052544020
385,1642 Charlotte Amalie Drive,,Slaskie,549,75442.0,821476736117
171,1540 Wroclaw Drive,,Maharashtra,107,62686.0,182363341674
249,300 Junan Street,,Kyonggi,553,81314.0,890289150158
128,848 Tafuna Manor,,Kütahya,281,45142.0,614935229095
292,1993 Tabuk Lane,,Tamil Nadu,522,64221.0,648482415405
84,1888 Kabul Drive,,Oyo & Osun,217,20936.0,701457319790
538,1817 Livorno Way,,Khanh Hoa,100,79401.0,478380208348
315,543 Bergamo Avenue,,Minas Gerais,215,59686.0,103602195112
511,1152 al-Qatif Lane,,Kalimantan Barat,412,44816.0,131370665218
513,758 Korolev Parkway,,Andhra Pradesh,568,75474.0,441628280920
151,1337 Lincoln Parkway,,Saitama,555,99457.0,597815221267
321,651 Pathankot Loop,,Maharashtra,336,59811.0,139378397418
409,1266 Laredo Parkway,,Saitama,380,7664.0,1483365694
381,1618 Olomouc Manor,,Kurgan,285,26385.0,96846695220
148,1027 Songkhla Manor,,Minsk,340,30861.0,563660187896
528,1176 Southend-on-Sea Manor,,Southern Tagalog,458,81651.0,236679267178
338,431 Székesfehérvár Avenue,,Baki,48,57828.0,119501405123
218,226 Brest Manor,,California,508,2299.0,785881412500
73,1031 Daugavpils Parkway,,Béchar,63,59025.0,107137400143
331,1016 Iwakuni Street,,St George,269,49833.0,961370847344
519,962 Tama Loop,,,583,65952.0,282667506728
311,715 São Bernardo do Campo Lane,,Kedah,507,84804.0,181179321332
75,492 Cam Ranh Street,,Eastern Visayas,61,50805.0,565018274456
347,1293 Nam Dinh Way,,Roraima,84,71583.0,697656479977
143,1029 Dzerzinsk Manor,,Ynlin,542,57519.0,33173584456
590,247 Jining Parkway,,Banjul,54,53446.0,170115379190
66,1717 Guadalajara Lane,,Missouri,441,85505.0,914090181665
594,1464 Kursk Parkway,,Shandong,574,17381.0,338758048786
432,259 Ipoh Drive,,São Paulo,189,64964.0,419009857119
296,1936 Cumaná Avenue,,Virginia,433,61195.0,976798660411
530,1003 Qinhuangdao Street,,West Java,419,25972.0,35533115997
273,1519 Ilorin Place,,Kerala,395,49298.0,357445645426
566,1229 Varanasi (Benares) Manor,,Buenos Aires,43,40195.0,817740355461
111,1532 Dzerzinsk Way,,Buenos Aires,334,9599.0,330838016880
522,1768 Udine Loop,,Battambang,60,32347.0,448876499197
60,1668 Saint Louis Place,,Tahiti,397,39072.0,347487831378
548,1658 Cumaná Loop,,Sumatera Selatan,396,51309.0,784907335610
277,85 San Felipe de Puerto Plata Drive,,Shandong,584,46063.0,170739645687
182,1891 Rizhao Boulevard,,São Paulo,456,47288.0,391065549876
238,346 Skikda Parkway,,Hawalli,233,90628.0,630424482919
571,1746 Faaa Way,,Huánuco,214,32515.0,863080561151
270,682 Halisahar Place,,Severn Morava,378,20536.0,475553436330
105,733 Mandaluyong Place,,Asir,2,77459.0,196568435814
5,1913 Hanoi Way,,Nagasaki,463,35200.0,28303384290
378,1191 Tandil Drive,,Southern Tagalog,523,6362.0,45554316010
399,331 Bydgoszcz Parkway,,Asturia,181,966.0,537374465982
3,23 Workhaven Lane,,Alberta,300,,14033335568
158,798 Cianjur Avenue,,Shanxi,590,76990.0,499408708580
363,604 Bern Place,,Jharkhand,429,5373.0,620719383725
94,1952 Chatsworth Drive,,Guangdong,332,25958.0,991562402283
477,1786 Salinas Place,,Nam Ha,359,66546.0,206060652238
479,1854 Okara Boulevard,,Drenthe,158,42123.0,131912793873
169,154 Tallahassee Loop,,Xinxiang,199,62250.0,935508855935
367,1163 London Parkway,,Par,66,6066.0,675120358494
401,168 Cianjur Manor,,Saitama,228,73824.0,679095087143
314,1224 Huejutla de Reyes Boulevard,,Lombardia,91,70923.0,806016930576
418,126 Acuña Parkway,,West Bengali,71,58888.0,480039662421
195,1077 San Felipe de Puerto Plata Place,,Rostov-na-Donu,369,65387.0,812824036424
231,430 Alessandria Loop,,Saarland,439,47446.0,669828224459
361,45 Aparecida de Goiânia Place,,Madhya Pradesh,464,7431.0,650496654258
160,1367 Yantai Manor,,Ondo & Ekiti,381,21294.0,889538496300
89,1557 Kütahya Boulevard,,England,88,88002.0,720998247660
340,507 Smolensk Loop,,Sousse,492,22971.0,80303246192
156,1963 Moscow Place,,Assam,354,64863.0,761379480249
170,710 San Felipe del Progreso Avenue,,Lilongwe,304,76901.0,843801144113
461,1889 Valparai Way,,Ziguinchor,600,75559.0,670370974122
135,1752 São Leopoldo Parkway,,Taka-Karpatia,345,14014.0,252265130067
533,556 Asunción Way,,Mogiljov,339,35364.0,338244023543
33,786 Aurora Avenue,,Yamaguchi,474,65750.0,18461860151
328,479 San Felipe del Progreso Avenue,,Morelos,130,54949.0,869051782691
53,725 Isesaki Place,,Mekka,237,74428.0,876295323994
332,663 Bahía Blanca Parkway,,Adana,5,33463.0,834418779292
40,334 Munger (Monghyr) Lane,,Markazi,31,38145.0,481183273622
67,1214 Hanoi Way,,Nebraska,306,67055.0,491001136577
553,1421 Quilmes Lane,,Ishikawa,260,19151.0,135407755975
545,163 Augusta-Richmond County Loop,,Carabobo,561,33030.0,754579047924
560,1447 Imus Place,,Gujarat,426,12905.0,62127829280
562,869 Shikarpur Way,,England,496,57380.0,590764256785
140,788 Atšinsk Street,,Karnataka,211,81691.0,146497509724
86,927 Bahía Blanca Parkway,,Krim,479,9495.0,821972242086
297,1192 Tongliao Street,,Sharja,470,19065.0,350970907017
183,1089 Iwatsuki Avenue,,Kirov,270,35109.0,866092335135
468,1844 Usak Avenue,,Nova Scotia,196,84461.0,164414772677
448,614 Denizli Parkway,,Rio Grande do Sul,486,29444.0,876491807547
294,1912 Allende Manor,,Kowloon and New Kowl,279,58124.0,172262454487
251,1473 Changhwa Parkway,,Mxico,124,75933.0,266798132374
101,1599 Plock Drive,,Tete,534,71986.0,817248913162
52,909 Garland Manor,,Tatarstan,367,69367.0,705800322606
573,1407 Surakarta Manor,,Moskova,466,33224.0,324346485054
500,362 Rajkot Lane,,Gansu,47,98030.0,962020153680
405,530 Lausanne Lane,,Texas,135,11067.0,775235029633
310,913 Coacalco de Berriozábal Loop,,Texas,33,42141.0,262088367001
540,949 Allende Lane,,Uttar Pradesh,24,67521.0,122981120653
214,751 Lima Loop,,Aden,7,99405.0,756460337785
260,127 Iwakuni Boulevard,,Central Luzon,192,20777.0,987442542471
322,1359 Zhoushan Parkway,,Streymoyar,545,29763.0,46568045367
388,368 Huánuco Boulevard,,Namibe,360,17165.0,106439158941
47,1447 Imus Way,,Tahiti,167,48942.0,539758313890
556,346 Cam Ranh Avenue,,Zhejiang,599,39976.0,978430786151
253,1760 Oshawa Manor,,Tianjin,535,38140.0,56257502250
217,1001 Miyakonojo Lane,,Taizz,518,67924.0,584316724815
245,1103 Bilbays Parkway,,Hubei,578,87660.0,279979529227
6,1121 Loja Avenue,,California,449,17886.0,838635286649
212,624 Oshawa Boulevard,,West Bengali,51,89959.0,49677664184
365,1009 Zanzibar Lane,,Arecibo,32,64875.0,102396298916
35,33 Gorontalo Way,,West Bengali,257,30348.0,745994947458
588,966 Asunción Way,,Hidalgo,212,62703.0,995527378381
437,1766 Almirante Brown Street,,KwaZulu-Natal,364,63104.0,617567598243
603,1103 Quilmes Boulevard,,Piura,503,52137.0,644021380889
188,741 Ambattur Manor,,Noord-Brabant,438,43310.0,302590383819
184,1410 Benin City Parkway,,Risaralda,405,29747.0,104150372603
235,954 Kimchon Place,,West Bengali,559,42420.0,541327526474
497,1013 Tabuk Boulevard,,West Bengali,261,96203.0,158399646978
99,1697 Tanauan Lane,,Punjab,399,22870.0,4764773857
278,144 South Hill Loop,,Guanajuato,445,2012.0,45387294817
213,43 Dadu Avenue,,Rajasthan,74,4855.0,95666951770
597,32 Liaocheng Way,,Minas Gerais,248,1944.0,410877354933
422,289 Santo André Manor,,al-Sharqiya,16,72410.0,214976066017
70,1150 Kimchon Manor,,Skne ln,321,96109.0,663449333709
267,816 Cayenne Parkway,,Manab,414,93629.0,282874611748
486,64 Korla Street,,Mwanza,347,25145.0,510383179153
495,656 Matamoros Drive,,Boyac,487,19489.0,17305839123
488,698 Jelets Boulevard,,Denizli,142,2596.0,975185523021
424,1948 Bayugan Parkway,,Bihar,264,60622.0,987306329957
498,319 Plock Parkway,,Istanbul,504,26101.0,854259976812
526,617 Klerksdorp Place,,Khanh Hoa,366,94707.0,574973479129
402,616 Hagonoy Avenue,,Krasnojarsk,39,46043.0,604177838256
499,1954 Kowloon and New Kowloon Way,,Chimborazo,434,63667.0,898559280434
68,1966 Amroha Avenue,,Sichuan,139,70385.0,333489324603
137,261 Saint Louis Way,,Coahuila de Zaragoza,541,83401.0,321944036800
153,782 Mosul Street,,Massachusetts,94,25545.0,885899703621
320,1542 Lubumbashi Boulevard,,Tel Aviv,57,62472.0,508800331065
599,1895 Zhezqazghan Drive,,California,177,36693.0,137809746111
95,1370 Le Mans Avenue,,Brunei and Muara,53,52163.0,345679835036
122,333 Goiânia Way,,Texas,185,78625.0,909029256431
298,44 Najafabad Way,,Baskimaa,146,61391.0,96604821070
300,661 Chisinau Lane,,Pietari,274,8856.0,816436065431
305,41 El Alto Parkway,,Maharashtra,398,56883.0,51917807050
392,514 Ife Way,,Shaba,315,69973.0,900235712074
261,51 Laredo Avenue,,Sagaing,342,68146.0,884536620568
413,692 Amroha Drive,,Northern,230,35575.0,359478883004
452,207 Cuernavaca Loop,,Tatarstan,352,52671.0,782900030287
46,1632 Bislig Avenue,,Nonthaburi,394,61117.0,471675840679
14,1531 Salé Drive,,Esfahan,162,53628.0,648856936185
185,682 Garden Grove Place,,Tennessee,333,67497.0,72136330362
333,1860 Taguig Loop,,West Java,119,59550.0,38158430589
542,193 Bhusawal Place,,Kang-won,539,9750.0,745267607502
493,184 Mandaluyong Street,,Baja California Sur,288,94239.0,488425406814
317,780 Kimberley Way,,Tabuk,515,17032.0,824396883951
289,1279 Udine Parkway,,Edo & Delta,69,75860.0,195003555232
330,981 Kumbakonam Place,,Distrito Federal,89,87611.0,829116184079
32,1425 Shikarpur Manor,,Bihar,346,65599.0,678220867005
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896.0,716571220373
165,97 Shimoga Avenue,,Tel Aviv,533,44660.0,177167004331
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444.0,255800440636
236,885 Yingkou Manor,,Kaduna,596,31390.0,588964509072
428,1727 Matamoros Place,,Sawhaj,465,78813.0,129673677866
255,1966 Tonghae Street,,Anhalt Sachsen,198,36481.0,567359279425
417,791 Salinas Street,,Punjab,208,40509.0,129953030512
102,669 Firozabad Loop,,Abu Dhabi,12,92265.0,412903167998
355,469 Nakhon Sawan Street,,Tuvassia,531,58866.0,689199636560
583,1489 Kakamigahara Lane,,Taipei,526,98883.0,29341849811
65,915 Ponce Place,,Basel-Stadt,56,83980.0,1395251317
161,1386 Nakhon Sawan Boulevard,,Pyongyang-si,420,53502.0,368899174225
353,381 Kabul Way,,Taipei,209,87272.0,55477302294
398,954 Lapu-Lapu Way,,Moskova,278,8816.0,737229003916
348,785 Vaduz Street,,Baja California,335,36170.0,895616862749
154,781 Shimonoseki Drive,,Michoacn de Ocampo,202,95444.0,632316273199
208,1215 Pyongyang Parkway,,Usak,557,25238.0,646237101779
387,401 Sucre Boulevard,,New Hampshire,322,25007.0,486395999608
39,391 Callao Drive,,Midi-Pyrnes,544,34021.0,440512153169
